STB,Analista,Turno,Fecha,Canal,Video,Audio Pri,Audio Sec,Logo,EPG,Novedad
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 69 - CINDIEFAST HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 71 - ID HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 72 - Warner HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 73 - Sony HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 74 - A&E HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 75 - StarChan HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 76 - FX HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 77 - AXN HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 78 - TNT Series","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 79 - ADULTSW HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 80 - Lifetime HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 81 - USANET HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 82 - Comedy HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 83 - STARTVE HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 84 - A3SER HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 85 - Caracol Novela","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 86 - RCN Novela","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 87 - TL Novelas","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 88 - TNT NOVELAS","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 89 - KanalD HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 90 - VePlus TV HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 91 - Pasiones HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 93 - NOVELISIMA HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 94 - TeleVidHD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 95 - EWTN","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 96 - Enlace","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 97 - Cristovis","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 98 - TV Famili HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 99 - DAYS HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 100 - CCongreso","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 101 - Zoom","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 102 - Telecaribe","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 103 - TPacifico","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 104 - Telecafe","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 105 - CanalCapit","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 106 - Canal TR3CE","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 107 - TRO","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 108 - Teleislas","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 109 - ATN","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 110 - Telepetrol","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 111 - Enlace TV","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 112 - TVC","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 113 - CCartagen","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 114 - Cali TV","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 115 - C Universi","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 116 - Teleamiga","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 117 - CNNEspa","V OK","A1 OK","A2 OK","L OK","E OK",""
